station_id,in 0:00 ~ 1:00,in 1:00 ~ 2:00,in 2:00 ~ 3:00,in 3:00 ~ 4:00,in 4:00 ~ 5:00,in 5:00 ~ 6:00,in 6:00 ~ 7:00,in 7:00 ~ 8:00,in 8:00 ~ 9:00,in 9:00 ~ 10:00,in 10:00 ~ 11:00,in 11:00 ~ 12:00,in 12:00 ~ 13:00,in 13:00 ~ 14:00,in 14:00 ~ 15:00,in 15:00 ~ 16:00,in 16:00 ~ 17:00,in 17:00 ~ 18:00,in 18:00 ~ 19:00,in 19:00 ~ 20:00,in 20:00 ~ 21:00,in 21:00 ~ 22:00,in 22:00 ~ 23:00,in 23:00 ~ 24:00
221,0.325806452,0.264976959,0.160368664,0.168894009,0.226267281,0.467050691,0.675345622,1.441013825,1.725345622,0.634562212,0.396774194,0.383870968,0.542857143,0.401152074,0.529262673,0.460368664,0.771198157,0.928110599,0.96359447,0.902534562,0.728341014,0.538479263,0.426728111,0.417281106
222,0.796313364,0.386635945,0.403225806,0.350921659,0.334562212,0.355990783,0.562211982,0.857373272,2.048387097,1.026036866,0.832258065,1.275345622,1.190092166,1.17764977,0.973963134,1.099769585,1.398617512,2.541474654,3.468894009,1.8140553,1.436866359,1.005529954,0.870967742,0.783870968
223,0.393087558,0.341474654,0.237096774,0.241935484,0.252764977,0.267050691,0.518202765,1.213824885,1.283410138,0.641474654,0.459677419,0.33156682,0.557834101,0.488940092,0.449539171,0.571428571,0.841935484,1.017281106,1.018894009,0.660368664,0.413824885,0.590092166,0.498387097,0.364516129
224,0.455529954,0.287788018,0.33156682,0.27718894,0.343778802,0.311520737,0.288018433,0.657142857,0.889170507,0.691705069,0.541474654,0.583640553,0.850921659,1.094470046,0.799769585,0.949308756,0.844930876,1.179262673,1.45483871,1.553686636,1.379723502,0.946774194,1.121198157,0.767050691
225,0.446774194,0.231336406,0.225576037,0.266359447,0.20921659,0.226267281,0.237096774,0.560829493,1.395852535,0.470506912,0.926036866,0.533640553,0.469815668,0.520506912,0.420967742,0.554147465,0.610138249,0.632258065,1.138018433,1.092396313,0.544930876,0.556451613,0.664516129,0.551612903
226,0.479032258,0.56797235,0.336635945,0.285023041,0.266359447,0.191935484,0.181797235,0.247695853,0.753917051,0.345852535,0.357373272,0.576497696,0.660368664,0.698156682,0.589400922,0.672580645,1.085253456,0.782718894,1.557603687,1.139170507,0.907373272,0.959447005,0.935483871,0.623732719
227,0.206912442,0.17764977,0.19124424,0.166820276,0.184792627,0.118894009,0.141013825,0.363133641,1.016359447,0.505529954,0.467741935,0.356682028,0.422580645,0.279953917,0.422580645,0.395391705,0.561520737,0.557142857,1.140092166,0.529723502,0.336635945,0.4140553,0.398617512,0.297235023
228,0.830875576,0.566589862,0.347465438,0.500460829,0.284331797,0.373041475,0.244930876,0.388248848,0.953456221,0.913133641,0.69124424,0.6,0.698156682,0.782718894,1.022119816,0.861520737,0.917511521,1.329953917,1.502534562,1.317281106,1.101612903,0.895391705,0.864976959,0.726497696
229,0.237788018,0.216359447,0.217050691,0.150921659,0.19124424,0.217741935,0.19124424,0.241474654,0.260829493,0.27281106,0.184792627,0.256451613,0.349539171,0.509907834,0.571658986,0.461981567,0.573041475,0.99124424,2.301382488,1.425806452,0.469124424,0.282949309,0.273502304,0.220506912
230,1.141474654,0.697004608,0.665207373,0.645852535,0.572119816,0.48640553,0.756221198,0.974193548,2.359907834,1.826036866,1.226036866,1.271198157,1.493778802,1.969354839,1.465898618,1.658525346,1.776728111,2.303456221,2.793778802,2.354608295,1.887788018,1.639170507,1.611290323,1.499308756
231,0.244930876,0.201843318,0.116820276,0.144700461,0.107373272,0.38156682,0.192626728,0.82764977,1.046774194,0.64516129,0.365207373,0.336635945,0.330875576,0.345852535,0.409447005,0.445391705,0.332258065,0.484101382,0.79124424,0.517741935,0.489170507,0.250691244,0.363824885,0.301382488
232,0.73202765,0.552764977,0.280645161,0.302995392,0.256451613,0.921658986,1.170046083,1.132949309,1.941474654,2.089170507,1.376958525,1.16797235,1.245391705,1.057142857,1.152995392,1.052534562,1.337327189,1.428801843,3.04562212,2.103917051,1.170276498,1.224193548,1.009677419,0.614516129
233,0.74516129,0.098847926,0.038709677,0.046543779,0.025806452,0.032258065,0.052304147,0.032949309,0.265668203,0.0859447,0.088018433,0.138248848,0.171889401,0.153225806,0.176267281,0.157603687,0.080184332,0.193317972,0.264285714,0.147465438,0.136866359,0.118894009,0.142626728,0.100921659
234,0.237096774,0.156912442,0.219815668,0.144700461,0.045852535,0.110138249,0.091705069,0.33156682,0.251382488,0.252073733,0.164746544,0.165437788,0.185483871,0.219124424,0.287096774,0.191935484,0.186175115,0.221198157,0.362442396,0.271428571,0.362211982,0.223502304,0.140322581,0.204147465
235,0.206221198,0.204147465,0.124654378,0.137557604,0.262903226,0.126036866,0.166129032,0.193317972,0.848847926,0.158986175,0.141705069,0.1640553,0.283640553,0.197695853,0.207603687,0.364516129,0.379493088,0.373041475,0.361751152,0.323041475,0.264976959,0.257142857,0.287788018,0.30437788
236,0.423732719,0.454608295,0.447465438,0.222580645,0.158986175,0.160368664,0.199078341,0.296313364,0.492857143,0.652995392,0.471198157,0.368202765,0.406221198,0.549308756,0.528571429,0.623041475,0.527880184,0.613133641,0.785023041,0.844930876,0.516359447,0.517050691,0.54078341,0.544930876
237,0.305069124,0.382949309,0.289400922,0.172580645,0.153225806,0.146082949,0.308525346,0.417511521,0.919124424,0.812211982,0.553456221,0.441013825,0.559447005,0.485483871,0.578571429,0.486175115,0.688940092,0.620967742,1.218894009,0.677419355,0.420276498,0.443087558,0.680875576,0.521428571
238,0.360829493,0.387557604,0.931797235,0.301382488,0.247004608,0.454147465,0.588018433,0.975576037,2.200921659,1.399308756,1.09562212,1.146313364,1.406682028,1.368663594,1.372119816,1.006912442,1.299308756,0.958294931,1.610829493,1.584792627,1.621889401,1.896543779,1.475806452,0.561981567
239,0.279953917,0.199769585,0.253456221,0.219124424,0.131105991,0.230645161,0.376728111,0.332949309,0.810138249,0.651843318,0.555069124,0.395391705,0.470506912,0.694009217,0.734101382,0.653686636,0.809907834,0.685253456,1.403456221,1.037788018,0.693087558,0.488940092,0.670967742,0.438248848
240,0.673271889,0.430414747,0.422580645,0.261981567,0.276497696,0.184101382,0.629493088,0.502073733,1.716820276,0.459677419,0.74124424,0.843778802,0.84078341,1.148847926,0.95875576,1.105760369,1.112903226,1.279032258,1.71797235,1.452304147,1.588248848,1.31843318,1.332718894,0.794930876
241,0.243548387,0.179032258,0.197004608,0.120967742,0.184792627,0.933179724,0.458525346,1.149308756,1.371198157,0.434101382,0.555760369,0.485483871,0.837327189,0.596774194,0.731336406,0.561290323,0.870046083,0.597235023,0.872119816,0.524193548,0.341474654,0.468894009,0.405990783,0.299308756
242,0.312211982,0.299308756,0.292857143,0.229953917,0.181105991,0.425345622,0.283640553,0.370967742,1.201152074,0.357373272,0.190552995,0.21843318,0.22764977,0.235023041,0.264976959,0.598387097,0.373041475,0.362442396,0.409677419,0.31797235,0.329262673,0.360138249,0.28640553,0.28640553
243,0.349539171,0.209907834,0.221889401,0.200460829,0.189170507,0.196313364,0.157603687,0.318663594,0.615898618,0.403225806,0.425345622,0.404608295,0.658294931,0.829953917,0.905299539,0.87718894,1.064285714,0.970967742,1.602534562,1.324193548,0.894930876,0.866359447,0.704608295,0.363824885
244,0.455990783,0.500691244,0.328801843,0.326497696,0.250691244,0.307834101,0.435253456,0.761059908,1.770967742,0.586635945,0.533640553,0.668663594,0.625115207,0.857373272,0.722580645,0.711751152,0.931797235,1.032949309,1.072119816,0.962672811,0.852764977,0.860368664,0.883640553,1.013824885
245,0.500460829,0.421658986,0.301382488,0.333640553,0.22764977,0.267050691,0.250691244,0.613133641,1.178801843,0.762672811,0.52281106,0.447004608,0.737096774,0.652304147,0.768663594,0.661751152,0.739170507,0.639631336,1.049539171,1.211059908,0.825806452,1.016820276,0.628110599,0.601612903
247,1.448387097,1.005069124,0.776267281,0.787096774,0.453917051,0.494930876,0.494930876,0.915207373,1.800460829,1.167050691,1.310599078,1.30921659,1.462211982,1.557142857,1.738248848,1.672119816,1.860368664,2.257603687,3.074654378,3.173963134,2.608986175,2.448617512,2.42235023,1.855529954
248,0.151843318,0.193317972,0.133870968,0.199078341,0.222119816,0.171198157,0.217050691,0.298617512,0.348617512,0.307373272,0.287096774,0.399539171,0.50921659,0.40875576,0.360829493,0.721198157,0.740552995,1.046082949,1.708294931,0.78640553,0.407603687,0.516359447,0.448156682,0.324423963
249,0.350230415,0.126728111,0.153225806,0.103917051,0.169815668,0.093778802,0.414516129,0.20483871,0.339400922,0.237096774,0.206912442,0.189170507,0.184792627,0.294470046,0.36797235,0.534331797,0.736175115,0.781336406,0.688018433,0.666129032,0.447004608,0.291474654,0.388940092,0.3
250,0.226958525,0.436866359,0.150460829,0.080875576,0.067281106,0.05875576,0.364516129,0.225576037,0.764516129,0.217050691,0.145391705,0.231336406,0.30437788,0.253456221,0.329493088,0.249078341,0.308525346,0.276267281,0.283640553,0.283410138,0.25921659,0.217050691,0.173271889,0.20483871
251,0.320046083,0.312903226,0.278571429,0.255529954,0.205529954,0.192626728,0.219124424,0.749078341,0.83202765,0.348847926,0.262211982,0.339631336,0.3,0.305069124,0.362442396,0.508525346,0.484792627,0.380414747,0.50921659,0.52764977,0.484101382,0.403917051,0.420967742,0.430414747
252,0.328110599,0.506221198,0.424654378,0.264285714,0.256451613,0.23202765,0.546313364,0.946082949,0.953917051,0.225576037,0.600230415,0.414516129,0.433410138,0.593778802,0.582949309,0.538479263,0.773502304,0.523502304,0.869354839,0.623041475,0.80921659,0.783179724,0.555760369,0.612442396
253,0.50483871,0.567050691,0.350921659,0.31359447,0.434101382,0.363133641,0.438940092,0.416820276,0.726728111,0.456221198,0.270046083,0.26359447,0.351612903,0.460368664,0.3859447,0.370276498,0.683870968,0.508525346,0.859447005,0.605990783,0.514746544,0.662211982,0.550691244,0.507834101
