station_id,out 0:00 ~ 1:00,out 1:00 ~ 2:00,out 2:00 ~ 3:00,out 3:00 ~ 4:00,out 4:00 ~ 5:00,out 5:00 ~ 6:00,out 6:00 ~ 7:00,out 7:00 ~ 8:00,out 8:00 ~ 9:00,out 9:00 ~ 10:00,out 10:00 ~ 11:00,out 11:00 ~ 12:00,out 12:00 ~ 13:00,out 13:00 ~ 14:00,out 14:00 ~ 15:00,out 15:00 ~ 16:00,out 16:00 ~ 17:00,out 17:00 ~ 18:00,out 18:00 ~ 19:00,out 19:00 ~ 20:00,out 20:00 ~ 21:00,out 21:00 ~ 22:00,out 22:00 ~ 23:00,out 23:00 ~ 24:00
1941,0.243548387,0.145391705,0.151152074,0.0859447,0.067281106,0.05875576,0.064516129,0.292165899,0.325806452,0.272119816,0.138248848,0.139631336,0.169124424,0.144700461,0.191935484,0.20921659,0.274423963,0.298617512,0.23202765,0.371658986,0.248387097,0.234792627,0.289400922,0.223502304
1943,0.158986175,0.179032258,0.101612903,0.131797235,0.065207373,0.019354839,0.032949309,0.033640553,0.02718894,0.020737327,0.038709677,0.046543779,0.103225806,0.093778802,0.07235023,0.108064516,0.073732719,0.105299539,0.112442396,0.07235023,0.032258065,0.039400922,0.083870968,0.120276498
1946,1.011751152,0.291474654,0.356682028,0.173271889,0.200460829,0.199769585,0.197004608,0.28156682,0.582258065,0.418894009,0.302995392,0.444700461,0.329493088,0.570046083,0.51843318,0.727419355,0.687327189,0.897004608,1.448617512,0.855760369,0.811290323,0.725345622,0.570046083,0.441935484
1951,0.093778802,0.113133641,0.067281106,0.066589862,0.065207373,0.052304147,0.04516129,0.365898618,0.325115207,0.129032258,0.07235023,0.065207373,0.065898618,0.152534562,0.151152074,0.166129032,0.140322581,0.164746544,0.306451613,0.306451613,0.131797235,0.058064516,0.088018433,0.099539171
1952,0.172580645,0.163364055,0.186175115,0.111059908,0.05875576,0.139631336,0.158986175,0.374654378,1.021428571,0.363133641,0.228571429,0.2140553,0.237788018,0.329493088,0.34078341,0.25921659,0.316589862,0.305760369,0.235714286,0.200460829,0.35437788,0.178341014,0.121658986,0.185483871
1953,0.195391705,0.205529954,0.166820276,0.193317972,0.216129032,0.146082949,0.119585253,0.176958525,0.371658986,0.285483871,0.153225806,0.164746544,0.219815668,0.323502304,0.244930876,0.201843318,0.351612903,0.211981567,0.609447005,0.308064516,0.260599078,0.161059908,0.227880184,0.179723502
1955,0.774884793,0.85,0.633179724,0.49124424,0.439861751,0.267050691,0.350230415,0.588709677,1.546313364,0.782488479,0.582258065,0.58156682,0.792396313,0.809907834,0.959447005,1.005529954,1.306221198,1.02764977,1.842396313,1.488018433,0.978341014,0.906682028,0.963364055,0.926497696
1956,0.125345622,0.136866359,0.148156682,0.110368664,0.171889401,0.179723502,0.077419355,0.366589862,0.237788018,0.24124424,0.185483871,0.320046083,0.189170507,0.314976959,0.311520737,0.278571429,0.197695853,0.21843318,0.446082949,0.278571429,0.093087558,0.098847926,0.130414747,0.142396313
1957,0.155990783,0.141013825,0.151152074,0.157603687,0.08156682,0.167511521,0.32281106,0.492626728,0.865898618,0.779262673,0.425345622,0.445852535,0.373732719,0.621428571,0.507603687,0.363824885,0.388940092,0.744930876,0.350230415,0.312903226,0.306451613,0.25437788,0.377419355,0.207603687
1958,0.138248848,0.271198157,0.146774194,0.121658986,0.112442396,0.176267281,0.060138249,0.162672811,0.612903226,0.848387097,0.259907834,0.173271889,0.425345622,0.362211982,0.5640553,0.403225806,0.197695853,0.312211982,0.305069124,0.308525346,0.442626728,0.321428571,0.229032258,0.172580645
1959,0.111059908,0.158986175,0.126036866,0.119585253,0.091013825,0.1359447,0.146774194,0.495391705,1.135714286,0.34078341,0.312211982,0.383179724,0.258525346,0.258525346,0.310829493,0.265668203,0.255069124,0.416129032,0.764746544,0.298617512,0.290552995,0.291474654,0.31797235,0.210599078
1960,0.378801843,0.291474654,0.255069124,0.258525346,0.146082949,0.19124424,0.33156682,0.518663594,0.835253456,0.643087558,0.52718894,0.411059908,0.486866359,0.492626728,0.57718894,0.523502304,0.59078341,0.458525346,0.814976959,0.615898618,0.585714286,0.528341014,0.438248848,0.456221198
